recipient_ein,name1,name2,address1,address2,city,state,zip,evidence_url,added_by,added_date,note
133030229,LOCAL INITIATIVES SUPPORT CORP,,501 7TH AVENUE,,NEW YORK,NY,10018,https://projects.propublica.org/nonprofits/organizations/133030229,zein,2026-08-03,short-form name at former HQ
133541913,TEACH FOR AMERICA,,315 WEST 36TH STREET 7TH FLOOR,,NEW YORK,NY,10018,https://projects.propublica.org/nonprofits/organizations/133541913,zein,2026-08-03,former HQ
133541913,TEACH FOR AMERICA,,25 BROADWAY,,NEW YORK,NY,10004,https://projects.propublica.org/nonprofits/organizations/133541913,zein,2026-08-03,HQ
203668110,ONE ACRE FUND,,81 PROSPECT ST,,BROOKLYN,NY,112011473,https://projects.propublica.org/nonprofits/organizations/203668110,zein,2026-08-03,Brooklyn office
203668110,ONE ACRE FUND,,80 BROAD STREET SUITE 2500,,NEW YORK,NY,10004,https://projects.propublica.org/nonprofits/organizations/203668110,zein,2026-08-03,Manhattan office
330364239,LOMA LINDA UNIVERSITY HEALTH,,25455 BARTON RD 102B,,LOMA LINDA,CA,92354,https://projects.propublica.org/nonprofits/organizations/330364239,zein,2026-08-03,name variant of Loma Linda University Health Care
350868188,UNIVERSITY OF NOTRE DAME,,UNIVERSITY OF NOTRE DAME,,NOTRE DAME,IN,465565602,https://projects.propublica.org/nonprofits/organizations/350868188,zein,2026-08-03,common name; filed name is '...du Lac'
416011702,MAYO CLINIC,,13400 E SHEA BLVD,,SCOTTSDALE,AZ,852595404,https://projects.propublica.org/nonprofits/organizations/416011702,zein,2026-08-03,FLAG: Scottsdale campus — verify parent-vs-campus EIN policy
416011702,MAYO CLINIC,,4500 SAN PABLO ROAD,,JACKSONVILLE,FL,322241865,https://projects.propublica.org/nonprofits/organizations/416011702,zein,2026-08-03,FLAG: Jacksonville campus — verify parent-vs-campus EIN policy
473290897,GATES PHILANTHROPY PARTNERS,,PO BOX 60555,,CITY OF INDUSTRY,CA,917160555,https://projects.propublica.org/nonprofits/organizations/473290897,zein,2026-08-03,City of Industry caging/lockbox
530206027,SMITHSONIAN INSTITUTE,,PO BOX 37012,,WASHINGTON,DC,200137012,https://projects.propublica.org/nonprofits/organizations/530206027,zein,2026-08-03,'Institute' misnomer at mailing PO box
530242652,THE NATURE CONSERVANCY,,201 MISSION STREET 4TH FLOOR,,SAN FRANCISCO,CA,941051832,https://projects.propublica.org/nonprofits/organizations/530242652,zein,2026-08-03,SF chapter office
530242652,THE NATURE CONSERVANCY,,2424 SPRUCE STREET,,BOULDER,CO,803024617,https://projects.propublica.org/nonprofits/organizations/530242652,zein,2026-08-03,Boulder chapter office
741100555,TEXAS CHILDRENS HOSPITAL,,AVAILABLE UPON REQUEST,,PRINCETON,NJ,8543,https://projects.propublica.org/nonprofits/organizations/741100555,zein,2026-08-03,FLAG: placeholder address (pharma patient-assistance filings)
873874220,BLUE CIRCLE HEALTH INC,,THE CORPORATION TRUST CENTER 1209,,WILMINGTON,DE,19801,https://projects.propublica.org/nonprofits/organizations/873874220,zein,2026-08-03,Wilmington DE registered agent
942607722,NEW ISRAEL FUND,,6 EAST 39TH STREET SUITE 301,,NEW YORK,NY,100160112,https://projects.propublica.org/nonprofits/organizations/942607722,zein,2026-08-03,HQ suite/zip variant
942607722,NEW ISRAEL FUND,,235 MARKET STREET SUITE 920,,SAN FRANCISCO,CA,94104,https://projects.propublica.org/nonprofits/organizations/942607722,zein,2026-08-03,SF office
